episode,timestep,raw_reward
1,23,-102.56869006532948
2,36,-101.77659514888676
3,46,-101.93058290493188
4,62,-102.45607464469055
5,71,-102.45171274138781
6,77,-101.69680671094913
7,89,-102.34935209781673
8,121,-102.68958964956008
9,143,-102.71036404661228
10,163,-102.81601546799394
11,186,-102.27969910361787
12,206,-102.01476928018197
13,224,-102.02865755636759
14,230,-101.84913310348857
15,250,-101.99881199829932
16,258,-102.018067981902
17,272,-101.89461336199666
18,285,-102.26709889112819
19,295,-101.81575505684447
20,301,-101.43924159165917
21,313,-102.38838740287989
22,324,-101.52762023757388
23,341,-102.05942971827824
24,363,-101.88515966998698
25,398,-102.23495774205223
26,420,-102.09436576790985
27,439,-102.17767857554644
28,452,-101.80350029065809
29,460,-101.76537411961108
30,476,-102.15173081200544
31,496,-102.03343702681818
32,509,-102.22664065238841
33,546,-102.43590663852287
34,571,-102.18030311557081
35,604,-102.82357709005488
36,615,-101.52901074091186
37,626,-101.45488414751416
38,645,-102.05832927044031
39,652,-101.79601614989605
40,670,-102.11886807262873
41,692,-102.65587612143658
42,722,-102.8994733343774
43,747,-103.73290523286218
44,769,-102.24374362724133
45,781,-101.62108694498511
46,796,-102.09577594332477
47,832,-102.29992544891621
48,844,-101.52936317522887
49,869,-102.48937173250222
50,874,-101.31546627430973
51,893,-102.0810143365086
52,909,-102.17045369742074
53,928,-102.40954282742683
54,940,-101.81749757207237
55,956,-101.69865725068371
56,977,-102.7079126051275
57,1004,-102.73634868041023
58,1011,-101.36223795587185
59,1019,-101.4196957173133
60,1047,-101.84388441954529
61,1063,-102.22434148538613
62,1083,-102.09661929384794
63,1099,-101.66498972442062
64,1108,-101.51994458949744
65,1115,-101.75143843170831
66,1132,-102.40204959289022
67,1148,-102.11793723880274
68,1174,-102.3091143758665
69,1190,-102.40351726576523
70,1200,-101.4587676930416
71,1213,-101.60870326768175
72,1238,-102.3332306676243
73,1255,-102.25471808170447
74,1285,-102.62401962312809
75,1307,-102.69347327752094
76,1315,-541.5278089506787
77,1334,-102.44013355206748
78,1352,-101.76305158640649
79,1371,-101.98061798453053
80,1390,-101.85388580453603
81,1409,-101.91040604537369
82,1420,-101.5722515026292
83,1434,-101.720469966814
84,1453,-102.27120457249048
85,1469,-102.4895985104995
86,1486,-102.38035882063203
87,1501,-102.02142313529285
88,1515,-101.88651218001338
89,1530,-101.65874819408675
90,1542,-102.3816540684013
91,1564,-102.15876834557596
92,1580,-101.47402486424099
93,1602,-102.2444197785735
94,1618,-101.99246856928974
95,1630,-101.66990477396604
96,1657,-101.99672371167772
97,1671,-101.54868934370326
98,1685,-101.98763783931916
99,1701,-102.37273682799234
100,1712,-101.77337425353117
101,1728,-102.05247524908549
102,1734,-101.23434114611693
103,1756,-102.39848801178161
104,1776,-101.45996647201315
105,1795,-101.9802138052964
106,1817,-101.99444332644138
107,1835,-101.68343293349298
108,1854,-102.15495307236367
109,1870,-102.19220869286741
110,1888,-102.55438970720073
111,1901,-102.24223282206181
112,1917,-102.04335031997846
113,1932,-101.81150853907819
114,1975,-106.84018442045057
115,1993,-102.0019713493443
116,2028,-101.74756556203553
117,2054,-101.68796130681967
118,2072,-102.46252325516822
119,2089,-101.63938537289084
120,2109,-101.96930414839727
121,2134,-101.94812493083822
122,2149,-102.11284671187605
123,2178,-101.81310835895141
124,2191,-101.83891567039386
125,2210,-102.5853094973071
126,2228,-102.5082389696662
127,2244,-101.74190607802215
128,2261,-102.37356002295608
129,2263,-551.5470144162534
130,2275,-101.52181144951432
131,2284,-101.85196811909132
132,2299,-102.06681653749818
133,2326,-102.69824092132917
134,2346,-103.5676245044891
135,2360,-101.99940767211196
136,2381,-102.42472386715062
137,2392,-102.27064982326381
138,2413,-101.86340174347937
139,2419,-101.56478194078086
140,2436,-102.34894294390698
141,2465,-102.83273407013183
142,2483,-553.1830246085174
143,2506,-101.3370783674427
144,2522,-101.60777436182785
145,2554,-102.05302577685393
146,2574,-102.12562943009661
