episode,timestep,raw_reward
1,6,-100.31952764151167
2,11,-100.4915088701401
3,19,-100.65992915166808
4,27,-100.58893859828292
5,33,-100.54940461967759
6,42,-100.5326668489668
7,47,-100.54005260735333
8,53,-100.65846481485251
9,59,-100.54531521231921
10,63,-100.54035735441953
11,71,-100.35299600053746
12,79,-100.68891908250352
13,83,-100.4725084350302
14,88,-100.54280962624233
15,93,-100.46613127575601
16,98,-100.61260734869163
17,105,-100.64634841616375
18,117,-100.63858923579423
19,123,-100.4357768914524
20,129,-100.56293835067478
21,135,-100.75888567377744
22,139,-100.37742290346193
23,147,-100.42564607995469
24,152,-100.51295238112198
25,155,-100.34127883555372
