episode,timestep,raw_reward
1,15,-11.170832781700447
2,22,-11.415916445382159
3,30,-11.072832877295282
4,37,-10.9925941958009
5,52,-11.322062525072699
6,65,-11.32201347593967
7,73,-11.59886770703183
8,84,-11.57741157621891
9,92,-11.215649811507653
10,101,-11.531127752059136
11,108,-11.374196708295626
12,117,-11.385326705343363
13,124,-11.320085195380473
14,132,-11.561352665441937
15,142,-11.691587165953708
16,150,-11.540072207002101
17,158,-11.009334061064324
18,169,-11.254244916758823
19,184,-12.490717230228183
20,191,-11.65781242699545
21,204,-12.229746390401496
22,213,-11.778527806426682
23,221,-11.328082670045795
24,236,-12.776768369446673
25,242,-10.9474463310096
26,250,-11.257890529590282
27,258,-11.10053345683542
28,268,-11.188722002220342
29,274,-12.163615475571298
30,286,-11.231589636064834
31,295,-11.61462159840169
32,300,-11.286659221575496
33,306,-11.391574261878127
34,315,-11.226855050613224
35,323,-11.277990486160883
36,330,-12.058141010781487
37,336,-12.227055766638944
38,349,-11.068887856871184
39,354,-11.12525022667443
