episode,timestep,raw_reward
1,30,-5.471799958731425
2,45,-102.20674699782457
3,75,-3.1016207629604553
4,105,-2.771396586217799
5,135,-3.3329103191536005
6,136,-100.81360141715648
7,166,-108.1291455898032
8,189,-104.00958892129664
9,204,-102.49580101742109
10,223,-103.71738622607137
11,247,-108.60521809575417
12,275,-104.44296221667233
13,288,-102.8113335121286
14,305,-102.39648396450593
15,315,-102.62252774702822
16,323,-102.17498565512822
17,333,-103.43713261938183
18,345,-102.75553878228702
19,358,-103.7710462733702
20,370,-102.1164606444421
21,379,-102.57439630550743
22,399,-105.80810846337583
23,414,-102.42260508302697
24,430,-104.62730208410328
25,451,-106.58122714710895
26,473,-107.02211659261121
27,499,-103.10673281164591
28,510,-102.31526646357216
29,526,-102.90991596633876
30,543,-108.99704991552494
31,568,-108.87068321184096
32,582,-103.54436316961153
33,607,-104.44912953397451
34,621,-103.3257790693553
35,641,-103.33792835967724
36,664,-106.22669298601421
37,688,-110.24730501687593
