episode,timestep,raw_reward
1,2,-101.40769325614849
2,5,-102.50938104667446
3,11,-103.51843302116525
4,13,-101.42154523676746
5,15,-101.85502224234246
6,17,-101.6038719795861
7,20,-102.47677354058219
8,22,-101.52561199583893
9,24,-101.32738976920979
10,26,-101.56360505929587
11,29,-102.8118078150522
12,34,-106.14232143987077
13,36,-101.40646229442939
14,38,-101.32369830661213
15,40,-101.51702979526787
16,42,-101.7426738497726
17,45,-102.80571481447991
18,47,-100.8127586809941
19,49,-101.45235478304677
20,51,-101.57994581053788
21,53,-101.54930836175599
22,55,-101.44373569697183
23,58,-101.62344287736951
24,61,-101.71421580908309
25,65,-102.73425353746275
26,68,-101.0179821391099
27,70,-101.38620857002526
28,73,-102.17730758051773
29,76,-102.36212368017034
30,78,-101.56231243299462
31,81,-101.50055789420101
32,83,-101.6022546500013
33,85,-101.50741184735547
34,87,-101.24233028859814
35,90,-101.53090034734262
36,92,-101.46892659975961
37,94,-101.7933399969622
38,96,-101.59495116256682
39,98,-101.38319107837978
