episode,timestep,raw_reward
1,7,-103.17654869768415
2,16,-105.24474377536129
3,31,-109.83196332078273
4,41,-103.09327395611761
5,57,-107.41329872206344
6,70,-103.99520216678665
7,83,-108.19752783790909
8,89,-105.05316642316589
9,95,-104.06863570479246
10,104,-106.50410750911674
11,116,-104.73603643164263
12,126,-104.81017594169657
13,131,-102.33760463529684
14,139,-102.42016555156012
15,148,-107.31936028170766
16,156,-101.90916592370168
17,166,-106.25587299452576
18,173,-103.11520392915348
19,182,-104.48571241083809
20,192,-105.50518002925122
21,204,-104.878360330718
22,215,-105.8711242563144
23,226,-105.76104127454575
24,236,-103.73508622087095
25,243,-103.38658633555
26,259,-110.49891982617967
27,270,-104.98912465265964
28,282,-108.44148380615034
29,299,-113.01746016853531
