episode,timestep,raw_reward
1,8,-101.45889608508028
2,14,-101.06286925075908
3,21,-102.43096306547535
4,32,-101.58160120845753
5,39,-102.20960872644477
6,46,-101.24321780861598
7,51,-101.80666467657025
8,59,-101.77694780224766
9,65,-102.5067110612516
10,72,-101.8698588218144
11,77,-102.40042246454736
12,83,-102.13300462169188
13,91,-101.32677381822174
14,101,-103.39067996270033
15,110,-102.12626293783947
16,117,-101.35836066581916
17,126,-101.6004580640633
18,134,-102.76377133927761
19,141,-101.56307693944458
20,148,-101.2537141194365
21,155,-101.0348221301416
22,161,-101.72889626682279
23,170,-102.67187032630031
24,189,-102.47809206413825
25,198,-101.94718036015098
26,205,-102.74615994070128
27,213,-101.03019553731116
28,225,-102.0793528380495
29,230,-101.73980128953932
30,235,-102.28082308480374
31,242,-101.36762791482617
32,259,-103.25644725017997
33,265,-102.0989568976676
34,271,-101.53280046991178
35,279,-102.39697011436617
36,284,-101.58148145279394
37,291,-103.4770236857847
38,296,-101.95378554179159
39,303,-101.45798640733388
40,311,-101.94296891290433
41,317,-101.57981611284403
42,321,-102.34475084616268
43,331,-101.403133698471
44,338,-101.49910309836096
45,344,-102.78816500595146
46,351,-101.48628148789007
47,359,-101.38087540812803
48,366,-101.61884669906273
49,372,-101.96006012177472
50,378,-100.84984143200266
51,394,-104.23901164493137
52,401,-102.48296016451863
53,408,-100.9041380646292
54,412,-101.38077237496833
55,425,-102.48498619973226
56,430,-100.83258094398077
57,436,-102.75658354782868
58,445,-101.65810519719173
59,453,-101.23294833717003
60,464,-102.5624611170974
61,469,-101.50186621019812
62,475,-102.41414631476462
63,479,-102.89728703257023
64,488,-104.06591035782937
65,494,-101.92326925505182
66,503,-102.04431752603386
67,510,-100.90883394028005
68,516,-101.20073354440834
69,525,-101.92734098745298
70,532,-101.26058292676105
71,541,-101.30699685402958
72,549,-102.04151221894416
73,553,-102.14146637493806
