episode,timestep,raw_reward
1,26,-102.98300831776719
2,74,-104.559042118967
3,86,-101.98449976166043
4,107,-102.83155214631513
5,129,-102.00213129444562
6,157,-103.97407969764723
7,172,-102.43505608223647
8,180,-100.72452880565577
9,199,-103.46825260040457
10,217,-102.19242381666639
11,235,-101.62282118239881
12,250,-101.29686952847884
13,267,-101.83048185744374
14,288,-101.92123288333784
15,306,-101.58368049048599
16,329,-102.16030418634278
17,338,-100.91930743475278
18,357,-101.37263448058106
19,367,-101.0835525642214
20,384,-101.54779744668777
21,400,-101.37959275871593
22,417,-101.64240189941434
23,436,-101.40520474694004
24,459,-101.84461711085818
25,480,-102.06783100622306
26,496,-101.63796142856995
27,512,-101.22698611345848
28,527,-100.9806731097377
29,542,-101.16153967724071
30,560,-102.09170779959771
31,568,-100.71791144407483
32,585,-101.37253927643644
33,602,-101.40018246352406
34,622,-102.094330369682
35,645,-522.2780588813308
36,662,-101.65825996573953
37,678,-101.76452414735535
38,697,-101.98423412413229
39,717,-103.1436914815222
40,736,-101.47030808145621
41,745,-101.16187073641738
42,755,-101.47260293832264
43,786,-102.70539160198484
44,797,-101.31254079417131
