episode,timestep,raw_reward
1,9,-102.92694578849381
2,31,-105.78720157590877
3,40,-103.32331618298491
4,47,-102.91058590453795
5,59,-102.50407240930812
6,68,-102.8204979536064
7,84,-104.60044030847324
8,95,-105.7762620896081
9,104,-103.65282785964709
10,123,-106.4479927847953
11,131,-105.31404850344303
12,139,-103.68155490886032
13,153,-104.55785612231259
14,166,-103.29077997858548
15,179,-106.01120939302528
16,187,-104.5619988779389
17,192,-602.4695453465035
18,199,-103.5030842239542
19,214,-104.14769609484243
