episode,timestep,raw_reward
1,23,-105.91281731652741
2,36,-102.69803543341702
3,48,-104.20763676780236
4,57,-102.59756829010045
5,70,-103.59670384867523
6,84,-102.68221415951531
7,92,-104.53012255633853
8,105,-103.50169207661048
9,124,-104.44737151895457
10,142,-108.16721903510614
11,153,-102.51941565009196
12,163,-102.53454222828063
13,173,-103.83271591477691
14,185,-103.81130510129255
15,193,-104.20416170018017
16,215,-105.13966654970629
17,234,-107.43365893051575
18,244,-102.92840595512764
19,264,-103.8688591572429
