episode,timestep,raw_reward
1,199,-23801.594727588636
2,203,-4924.510908743158
3,204,-2247.101320452036
4,205,-5289.891803953757
5,231,-6998.34052249171
6,239,-4008.5004389578603
7,287,-9823.450882000012
8,288,-1733.964103991766
9,298,-1924.4058516363114
10,299,-1370.5488769371514
11,304,-4755.294045411892
12,383,-6853.348993170562
13,418,-3257.286278576944
14,430,-1258.4032363703457
15,431,-1045.6177872126896
16,434,-2853.6492362603967
17,435,-891.6842694175577
18,487,-3966.754684524587
19,488,-555.1877785133108
20,536,-2283.9424372823714
21,539,-2528.153849817684
22,659,-7726.834862767012
23,660,-1078.2193031742995
