episode,timestep,raw_reward
1,9,-101.61985294624577
2,26,-102.33405722138114
3,41,-102.50380018644519
4,47,-101.81928461426752
5,57,-101.94250313421752
6,66,-101.1192719463716
7,72,-102.06015464214236
8,83,-101.82043361309175
9,89,-101.88612256542343
10,96,-102.07658409300171
11,104,-101.10351616449127
12,110,-101.9183212395203
13,116,-101.32279815576439
14,123,-102.19340465806268
15,132,-102.53090445021476
16,140,-101.33441555725565
17,152,-101.81735261215448
18,159,-101.2611940942787
19,169,-102.01524177155305
20,179,-103.342520523023
21,185,-101.93697368844126
22,192,-103.58509158123303
23,208,-102.89809930582659
24,214,-101.92206223638725
25,226,-102.16384551926626
26,233,-102.71532845145987
27,239,-101.02493923119889
28,249,-101.5001151479701
29,258,-101.25724546915608
30,267,-102.23100896867814
31,277,-101.93632869642116
32,289,-103.14732016077525
33,295,-103.12811264587008
34,302,-101.25155717256035
35,313,-102.00692916344136
36,331,-104.49625377748393
37,340,-102.28771879922122
38,348,-101.71118455212229
39,353,-102.00404976636779
40,362,-101.70749533875713
41,372,-102.46149615666795
42,385,-101.98202671734651
43,394,-103.11231268165683
44,406,-103.62476899483886
45,413,-101.61397152803079
46,420,-102.28639941743307
47,428,-101.0075071805974
48,437,-102.0328666120066
49,445,-101.83509211424023
50,452,-101.408665779811
51,462,-102.11021361251377
52,473,-101.35838100060471
53,482,-102.3708830295616
54,488,-102.34622177141627
55,493,-101.44447702081074
56,502,-101.7438740702244
57,512,-101.9226690901663
58,517,-101.95423197906645
59,523,-101.32634187784429
60,533,-100.99922987312776
61,541,-102.25120248468245
62,549,-101.49643094460397
63,558,-101.13081308976896
