episode,timestep,raw_reward
1,4,-0.4898132425945348
2,8,-100.50329816976998
3,10,-100.8048031121756
4,14,-0.14228251264092603
5,15,-100.20520799990874
6,19,-0.5551970495689668
7,23,-100.60299383079469
8,26,-100.69345276522522
9,29,-100.45452090841667
10,31,-100.46924988872965
11,34,-100.49426877469945
12,38,-0.34781550281134777
13,41,-100.92833561058427
14,45,-100.59760670165309
15,47,-100.4057684706095
16,51,-0.531199949918538
17,55,-100.56604236206093
18,58,-100.70143128191293
19,62,-100.76520650742339
20,66,-100.38602723516007
21,69,-100.36513286735904
22,72,-101.45081811585094
23,75,-101.29275621080369
24,77,-100.57045886464967
