episode,timestep,raw_reward
1,6,-100.58810031687324
2,12,-100.82910029841541
3,18,-100.80773696651428
4,23,-100.60748755830916
5,30,-100.81068730859478
6,35,-101.01422444794132
7,49,-100.96916390334177
8,53,-100.9808173679621
9,59,-100.5562487045955
10,65,-100.81341248369796
11,75,-100.70235426392003
12,85,-101.1777819990406
13,98,-101.1598912299406
14,109,-101.21998168162752
15,117,-100.9568686230174
16,122,-100.99328877228679
17,138,-102.37589193940333
18,143,-101.21539395920347
19,151,-100.99305806318816
20,158,-101.2327788818222
21,162,-100.50744009502085
22,167,-100.59326580434046
23,173,-100.65954132538229
24,179,-100.66059944041734
25,186,-100.69534855313263
26,190,-100.55865172464985
27,200,-101.12085213166455
28,205,-101.50223998864377
29,221,-100.85756975590822
30,227,-100.50772233431442
31,236,-100.68050575207293
32,245,-100.66014613703827
33,260,-101.84293027448219
34,266,-100.86816378685133
35,272,-101.37910751309484
