episode,timestep,raw_reward
1,2,-100.39296151398554
2,10,-102.46106977169313
3,19,-102.21272735985535
4,39,-5.976735292821763
5,44,-101.57078419038437
6,64,-1.7947675178497926
7,73,-102.00476664363867
8,83,-102.62758211977909
9,90,-103.77616486699436
10,101,-103.23501790659475
11,111,-103.3518241125636
12,119,-103.82644546009075
13,137,-104.82434020829172
14,154,-101.95016988544505
15,160,-102.6094550506628
16,170,-103.65692992161445
17,190,-8.318232540980414
18,201,-102.27191703946438
19,207,-103.10737194888402
20,217,-104.36352887238371
21,227,-102.83303635977606
22,243,-103.56756345910433
23,253,-102.51566621107965
24,260,-101.39388697768152
25,271,-104.57599617709698
26,287,-104.46119377079047
27,297,-101.82403719056498
28,304,-101.93225396682426
29,310,-101.83469816337981
30,322,-104.23919579939445
31,327,-103.6264799918786
32,344,-104.20506464721247
33,354,-108.10064068421858
34,362,-106.10738486960201
35,369,-101.2279052095836
36,381,-106.94074134303531
37,387,-102.25425432499217
38,394,-102.69265533357417
39,401,-102.5834259582736
40,420,-103.99322013115462
41,426,-102.45551150414228
42,435,-101.78061897874613
43,449,-105.78441626866947
44,458,-102.59699461623731
45,468,-101.77651115086779
46,478,-102.7248095924932
47,485,-102.81966438146192
48,490,-102.78317627699815
49,495,-102.80402694587724
50,501,-102.5689414242227
51,506,-103.35418298832077
52,518,-106.06235828928817
53,524,-101.28281189857898
54,530,-103.0961477069939
55,539,-101.8156508190544
56,546,-103.45084901085599
57,557,-101.86931995450196
58,567,-102.8094564512483
59,574,-103.43594225511985
60,581,-102.20321684417199
61,587,-101.54706385158684
62,593,-102.89076523375412
63,600,-103.65129309921534
64,607,-104.76513671673489
65,613,-103.45143007390674
66,617,-102.03719795747253
67,625,-105.71192062089341
68,635,-106.4959567679429
69,640,-102.86893961492905
70,649,-106.74349041245053
71,660,-106.37639571994221
72,665,-103.14698065022425
73,672,-104.40543821602041
74,677,-103.166488673874
75,686,-105.463102904456
76,691,-102.70891455395085
77,697,-103.93811464645654
78,705,-104.84348024768335
79,717,-108.7905891810054
80,723,-103.96686741185452
81,727,-102.04364357934173
82,733,-103.44858981258517
