episode,timestep,raw_reward
1,22,-109.50977867465052
2,34,-107.25061954401974
3,51,-108.85964715517967
4,72,-107.7934667614386
5,89,-109.76650392584867
6,110,-115.73432773551323
7,124,-106.00878955945211
8,141,-107.42080050443069
9,158,-106.51980088126463
10,171,-107.01085889206486
11,189,-109.1996789520093
12,205,-106.83148690647307
13,222,-108.36491826736444
14,236,-106.14115130918081
15,261,-115.28373424740082
16,284,-114.26689634942738
17,304,-107.1589310075347
18,321,-109.06071669284593
19,334,-104.56457181364229
20,346,-107.18551174518203
21,360,-107.92460304879302
22,377,-111.71966772887069
23,401,-110.83327986743947
24,422,-111.92656759661193
25,447,-114.15629500189009
26,466,-112.85857301228343
27,506,-122.55579573615064
28,519,-108.33659063042967
29,542,-114.47680743153232
30,565,-114.25820038334169
31,588,-114.24554863624924
32,614,-115.6854324631176
33,636,-111.6105470220357
34,684,-129.55310716507233
35,710,-116.45264606452619
36,764,-137.1424231945489
37,813,-138.98042339182348
38,828,-108.81010155486504
39,850,-114.5509648648054
40,866,-110.38729073645919
41,889,-113.75752285971626
42,938,-132.8879052381847
