episode,timestep,raw_reward
1,5,-100.62105781180814
2,10,-100.8505087222735
3,17,-100.94690626272823
4,22,-100.63741491106443
5,29,-100.5962376817619
6,37,-100.7599197611131
7,47,-101.03019291228968
8,55,-100.75868612962053
9,64,-100.99456781951427
10,69,-100.91493510128905
11,74,-100.97362821492716
12,82,-100.65562976094598
13,86,-100.64716430096666
14,91,-100.63433008506085
15,99,-101.37613816733743
16,104,-100.40829381981744
17,114,-0.18030007315016372
18,120,-101.1519485880466
19,128,-101.99341384422061
20,138,-0.5072984083856777
21,146,-100.83887848192231
22,156,-0.28010460220340233
23,162,-100.99291725415708
24,172,-0.9804595936259191
25,179,-100.4606294899141
26,185,-100.76902178494377
27,190,-100.74700362986496
28,197,-100.81547464470994
29,203,-100.92717108741628
30,208,-101.19025202587848
31,215,-100.66519046665456
32,222,-100.7083398377121
33,228,-100.97842964161521
